C01,Acura,Crest,4,HNP119
C02,Audi,Whim,5,SC18478
C03,BMW,Silver,7,C21015A
C04,Bentley,Crusader,2,FAH5755
C05,Cadillac,Aurora,4,CBF4803
C06,Chevrolet,Celestial,7,3MHF109
C07,Ford,Specter,5,KVM5259
C08,Honda,Cobra,2,5RK477
C09,Hyundai,Paradox,3,1979SF
C10,Jeep,Paladin,5,6ZPD616
C11,Kia,Velocity,1,RKM1922
C12,Lexus,Glitchpop,3,5CLU636
C13,Land Rover,Ion,6,WTV356
C14,Mercedes,Elder flame,9,KLX3687
C15,Nissan,RGX,7,LYP248
C16,Rolls-Royce,Serpent,8,U95GDK
C17,Porsche,Alabaster,1,7EHH749
C18,Subaru,Spire,23,M219502
C19,Volvo,Ares,4,685IKQ
C20,Volkswagen,Meridian,5,7DHU958
C21,Tesla,Gaia,6,CHP0627
C22,Maserati,Reaver,7,241NNN
C23,Jaguar,Blitz,6,8EWE489
